,ランキング順位,商品名,キャッチコピー,商品コード,商品価格,商品説明文,商品URL,商品画像有無,販売可否,クレジットカード利用可否,海外配送可否,海外配送対象地域,あす楽可否,あす楽配送対象地域,店舗名,店舗コード,店舗URL
11,11,1ST (初回盤B：音色盤 CD＋DVD) [ SixTONES ],【楽天ブックスならいつでも送料無料】,book:20194230,3286,SixTONESBKSCPN_【newcd】 ファースト ストーンズ 発売日：2021年01月06日 予約締切日：2021年01月02日 1ST JAN：4547366487183 SECJー18/9 (株)ソニー・ミュージックレーベルズ 初回限定 (株)ソニー・ミュージックソリューションズ 【CD】 01. ST 02. NAVIGATOR 03. Special Order 04. NEW ERA 05. Curtain Call 06. Dance All Night 07. S.I.X 08. Coffee & Cream 09. Imitation Rain 10. Lifetime 11. EXTRA VIP (Jesse × Juri Tanaka) 12. My Hometown (Yugo Kochi × Shintaro Morimoto) 13. ってあなた (Taiga Kyomoto × Hokuto Matsumura) 【DVD】 EXTRA VIP ーMusic Videoー My Hometown ーMusic Videoー ってあなた ーMusic Videoー CD JーPOP ポップス DVD・ブルーレイ付,https://item.rakuten.co.jp/book/16534843/,1,1,1,0,,0,,楽天ブックス,book,https://www.rakuten.co.jp/book/
12,12,＼総額200万円！／プレステ5・Switch・鬼滅の刃・ルンバ・iPad・ダイキン・3大カニも当たるかも！人気商品から選べる福袋 2021.北海道グルメ福袋.合計2021名に当選チャンス！食品 海鮮 お菓子 家電 豪華 メンズ レディース キッズ ジュニア 景品 簡易包装 初売り【M】,【4年連続楽天グルメ大賞受賞店舗】総額200万円！合計2021名に当選のチャンス！,buono-buono:10001877,2021,&#9654;原材料一覧はこちらをご確認下さい＜関連キーワード＞食品 グルメ 惣菜 麺類 スイーツ 製菓材料 ナッツ 加工食品 チョコレート 和菓子 海鮮 スープ するめ スルメ イカ 珍味 乾物 あたりめ ラーメン 札幌ラーメン 味噌 みそ 塩 醤油 つけ麺 スープカレー味 業務用 常温食品 常温保存 備蓄 セット 詰め合わせ お取り寄せグルメ スープカレー チキン 角煮 ホタテ レトルトカレー スパイス カレールー パンケーキミックス ホットケーキ ホットケーキミックス 楽天グルメ大賞 ミックスナッツ 無塩 無添加 無塩 無油 素焼き アーモンド くるみ だしパック だしの素 万能和風だし 昆布 だしつゆ 鰹節 北海道産昆布 国産生姜 佃煮 つくだに つくだ煮 ぜんざい おしるこ お汁粉 鮭フレーク シャケフレーク おにぎり お茶漬け チャーハン 玉ねぎスープ オニオンスープ 玉ねぎ 玉葱 タマネギ オニオン 生姜 しょうが ショウガ ジンジャー 粉末 パウダー インスタント 即席 いちご イチゴ 苺 ストロベリー フリーズドライ 洋菓子 お誕生日 プレゼント 贈り物 さんま 秋刀魚 サンマ 福袋 食品 お取り寄せ ふっこう ふっこう福袋 もったいない 海産物 観光地応援 在庫フードロス 在庫処分 食品ロス 送料無料 北海道 北海道グルメ 北海道ふっこう福袋 北海道応援 北海道物産展,https://item.rakuten.co.jp/buono-buono/buono-huku/,1,1,1,0,,0,,北海道産直グルメ　ぼーの,buono-buono,https://www.rakuten.co.jp/buono-buono/
13,13,【送料無料】 ブラジャー ショーツ セット 3点 福袋 おまかせ 下着 レディース ブラ＆ショーツ ブラ ブラセット ブラショーツ 上下セット セットアップ 安い プチプラ かわいい おしゃれ 2021 正月 初売り,まとめ買い 買い替え お買い得 ！ ブラセット 3組 ABCDEF,shirohato:10076604,2200,サイズ レディースA65-M、A70-M、A75-M、B65-M、B70-M、B75-M、C65-M、C70-M、C75-M、D65-M、D70-M、D75-M、E65-M、E70-M、E75-L、F65-M、F70-M、F75-LショーツM(ヒップ87-95cm)L(ヒップ92-100cm)※ショーツサイズの変更はできません。 カラー おまかせ 素材 ※商品によって異なります。 仕様 セット内容：ブラ＆ショーツセット3点【注意事項】※不良品(商品の汚れ、破れ、縫製不良など)、お届け間違い以外の返品・交換は一切できません。※事前にセット組みしているため、注文時の備考欄などでご要望に添うことができません。※ショーツのサイズは固定されているため選べません。※1セットの中に似たデザイン・カラーが入る場合がございます。※複数セットを同時購入、またはご注文日が近い場合、全く同じデザイン・カラーが入る場合がございます。※3点ともパッドなしのブラが入る場合がございます。※タグがついていない商品も入る場合がございます。 関連ワード 100125 ブラセット ブラジャーセット ブラショーツセット ブラ＆ショーツセット ブラジャー＆ショーツ パンツ フルバック 上下セット 下着セット 女性用 福袋 まとめ買い 買い替え 3枚組 安い プチプラ かわいい おしゃれ 大きいサイズ グラマーサイズ Eカップ Fカップ おすすめ 人気 セクシー 勝負下着 2020年 2021年 正月 元旦 初売り 刺繍 レース ブラジャー ショーツ セット 3点 福袋 おまかせ B80 C80 D80 E80 F80 ブラジャー ショーツ セット 3点 中身が見える福袋 GHI 大きいサイズ グラマーサイズ ショーツ スタンダード 5枚セット 福袋 おまかせ 刺繍レース 2wayトリコット サニタリーショーツ 羽つきナプキン対応 5枚セット 福袋 おまかせ 軽い日用 普通の日用 刺繍レース ベア天竺 &nbsp; &nbsp;ブラジャー ショーツ セット 3点 福袋 おまかせかわいいブラ＆ショーツセットが3点入った福袋。まとめて下着がほしい方や、新しいデザインに挑戦してみたい方におすすめです。※この商品は「全て当店おまかせ」となっております。※複数ご購入の場合、同じデザイン・カラーが入る場合がございます。※事前にセット組みしているため、注文時の備考欄などのご要望に添うことができません。あらかじめご了承ください。,https://item.rakuten.co.jp/shirohato/49fuku5p/,1,1,1,1,アルゼンチン/オーストリア/ベルギー/ブラジル/カナダ/スイス/中国/ドイツ/デンマーク/スペイン/フランス/英国/ギリシャ/香港/インドネシア/インド/イタリア/韓国/モロッコ/メキシコ/マレーシア/オランダ/ニュージーランド/フィリピン/ポーランド/ポルトガル/ロシア/スウェーデン/シンガポール/タイ/トルコ/台湾/ベトナム,0,,SHIROHATO（白鳩）,shirohato,https://www.rakuten.co.jp/shirohato/
14,14,1ST (初回盤A：原石盤 CD＋DVD) [ SixTONES ],【楽天ブックスならいつでも送料無料】,book:20194229,3286,"SixTONESBKSCPN_【newcd】 ファースト ストーンズ 発売日：2021年01月06日 予約締切日：2021年01月02日 1ST JAN：4547366487176 SECJー16/7 (株)ソニー・ミュージックレーベルズ 初回限定 (株)ソニー・ミュージックソリューションズ 【CD】 01. ST 02. NAVIGATOR 03. Special Order 04. NEW ERA 05. Curtain Call 06. Dance All Night 07. S.I.X 08. Coffee & Cream 09. Imitation Rain 10. Lifetime 11. この星のHIKARI 12. BE CRAZY 13. ""Laugh"" In the LIFE 14. Rollin' 15. RAMーPAMーPAM 【DVD】 ST ーMusic Videoー ST ーMusic Video Makingー ST ーMusic Video Solo Angleー CD JーPOP ポップス DVD・ブルーレイ付",https://item.rakuten.co.jp/book/16534842/,1,1,1,0,,0,,楽天ブックス,book,https://www.rakuten.co.jp/book/
15,15,【先着特典】1ST (初回盤A：原石盤＋初回盤B：音色盤＋通常盤セット) (ふた付マルチケースC) [ SixTONES ],【楽天ブックスならいつでも送料無料】,book:20194233,11220,"SixTONESBKSCPN_【newcd】 ストーンズ 発売日：2021年01月06日 予約締切日：2021年01月02日 JAN：2100012053433 (株)ソニー・ミュージックレーベルズ 初回限定 (株)ソニー・ミュージックソリューションズ 初回盤A：原石盤 【CD】 01. ST 02. NAVIGATOR 03. Special Order 04. NEW ERA 05. Curtain Call 06. Dance All Night 07. S.I.X 08. Coffee & Cream 09. Imitation Rain 10. Lifetime 11. この星のHIKARI 12. BE CRAZY 13. ""Laugh"" In the LIFE 14. Rollin' 15. RAMーPAMーPAM 【DVD】 ST ーMusic Videoー ST ーMusic Video Makingー ST ーMusic Video Solo Angleー 初回盤B：音色盤 【CD】 01. ST 02. NAVIGATOR 03. Special Order 04. NEW ERA 05. Curtain Call 06. Dance All Night 07. S.I.X 08. Coffee & Cream 09. Imitation Rain 10. Lifetime 11. EXTRA VIP (Jesse × Juri Tanaka) 12. My Hometown (Yugo Kochi × Shintaro Morimoto) 13. ってあなた (Taiga Kyomoto × Hokuto Matsumura) 【DVD】 EXTRA VIP ーMusic Videoー My Hometown ーMusic Videoー ってあなた ーMusic Videoー 通常盤 01. ST 02. NAVIGATOR 03. Special Order 04. NEW ERA 05. Curtain Call 06. Dance All Night 07. S.I.X 08. Coffee & Cream 09. Imitation Rain 10. Lifetime 11. うやむや 12. Mad Love 13. Telephone 1ST ver. CD JーPOP ポップス DVD・ブルーレイ付",https://item.rakuten.co.jp/book/16534846/,1,1,1,0,,0,,楽天ブックス,book,https://www.rakuten.co.jp/book/
16,16,Snow Man　カレンダー　2021.4-2022.3　Johnnys´Official,【楽天ブックスならいつでも送料無料】,book:20202277,2500,新潮社スノウマン　スノーマン 発行年月：2021年03月05日 予約締切日：2020年11月25日 ISBN：9784108991750 本 カレンダー・手帳・家計簿 カレンダー タレント,https://item.rakuten.co.jp/book/16540531/,1,1,1,0,,0,,楽天ブックス,book,https://www.rakuten.co.jp/book/
17,17,【公式】iPhone 12 12Pro 12mini 12ProMax SE第2世代 8 7 11 XR XS 11Pro Max 8Plus 7Plus iFace First Class Cafe Macarons くすみ ケース【 耐衝撃 iphoneケース アイフェイス iphone12 iphoneSE 第二世代 se2 ベージュ マカロン カフェ スマホケース カバー アイフォン 】,cafe カフェ ベージュ マカロン パステル くすみ スモーキー ニュアンス かわいいカラーいろいろ！ iFace First Class iPhone12 12Pro 12mini SE第2世代 耐衝撃 さらさら スマホケース,keitai:10803472,3300,商品名 [iPhone 12 / 12 pro / 12 mini / 12 Pro Max / 11 Pro / 11 / XR / 11 Pro Max / 8 Plus / 7 Plus / XS / X / 8 / 7 / SE (第2世代) 専用]iFace First Class Cafe Macarons ケース 　 キーワード 【公式】 iface iFace アイフェイス あいふぇいす 耐衝撃 カラフル スマホケース ケース カバー 携帯 スマホ 正規品　スマホケース スマホカバー 携帯 スマホ カバー iphoneケース アイフォンケース アイフォンカバー 可愛い かわいい ハードケース ハード TPU アイホン スマートフォンケース 韓国　大人可愛い 大人女子 大人かわいい おしゃれ　ブラウン ベージュ　かわいい シンプル ナチュラル パステルカラー パステル　ゆめかわ ゆめかわいい マカロン マカロンカラー くすみ くすみカラー スモーキー ニュアンス さらさら マット 流行色 トレンドカラー デザインと対応機種( カフェ ) 1. ミルク / XS / X 用 2. カフェラテ / XS / X 用 3. コーヒー / XS / X 用 4. ミルク / XR 用 5. カフェラテ / XR 用 6. コーヒー / XR 用 7. カフェラテ / 11 Pro Max 用 8. カフェラテ / 8 Plus / 7Plus 用 9. ミルク / 8 / 7 / SE (第2世代) 用 10. カフェラテ / 8 / 7 / SE (第2世代) 用 11. コーヒー / 8 / 7 / SE (第2世代) 用 12. ミルク / 11 用 13. カフェラテ / 11 用 14. コーヒー / 11 用 15. ミルク / 11 Pro 用 16. カフェラテ / 11 Pro 用 17. コーヒー / 11 Pro 用 18. ミルク / 12 / 12 Pro 用 19. カフェラテ / 12 / 12 Pro 用 20. コーヒー / 12 / 12 Pro 用 21. ミルク / 12 min 用 22. カフェラテ / 12 min 用 23. コーヒー / 12 min 用 24. カフェラテ / 12 Pro Max 用 デザインと対応機種( くすみ ) 1. くすみホワイト / 8 / 7 / SE (第2世代) 2. くすみブラック / 8 / 7 / SE (第2世代) 3. くすみピンク / 8 / 7 / SE (第2世代) 4. くすみブルー / 8 / 7 / SE (第2世代) 5. くすみグリーン / 8 / 7 / SE (第2世代) 6. くすみホワイト / 12 / 12 Pro 用 7. くすみブラック / 12 / 12 Pro 用 8. くすみピンク / 12 / 12 Pro 用 9. くすみブルー / 12 / 12 Pro 用 10. くすみグリーン / 12 / 12 Pro 用 11. くすみホワイト / 12 min 用 12. くすみブラック / 12 min 用 13. くすみピンク / 12 min 用 14. くすみブルー / 12 min 用 15. くすみグリーン / 12 min 用 デザインと対応機種( マカロン ) 1. マカロン / ピンク / 8 / 7 / SE (第2世代) 2. マカロン/ミント / 8 / 7 / SE (第2世代) 3. マカロン/パープル / 8 / 7 / SE (第2世代) 4. マカロン/ピンク / iPhone 11 5. マカロン/ミント / iPhone 11 6. マカロン/パープル / iPhone 11 18. マカロン / ピンク / 12 / 12 Pro 用 19. マカロン/ミント / 12 / 12 Pro 用 20. マカロン/パープル / 12 / 12 Pro 用 21. マカロン / ピンク / 12 min 用 22. マカロン/ミント / 12 min 用 23. マカロン/パープル / 12 min 用 デザイン ・ ミルク ・ カフェラテ ・ コーヒー ・ マカロン / ピンク ・ マカロン / ミント ・ マカロン / パープル ・ くすみホワイト ・ くすみブラック ・ くすみピンク ・ くすみブルー ・ くすみグリーン 対応機種 ・ iPhone (第2世代) 用 ( iphonese 2 第二世代 第2世代 se2 SE2 アイフォンse2 アイフォンse 2 アイフォン iphone 第二 第2 世代 SE 2 2020 ) ・ iPhone 8 用 ( iphone8 iphone 8 アイフォン8 アイフォン ) ・ iPhone 7 ( iphone7 iphone 7 アイフォン7 アイフォン ) ・ iPhone 11 用 ( iphone11 アイフォン11 アイフォン iphone 11 イレブン ) ・ iPhone 11 Pro 用 ( iphone11pro iphone 11 pro iphone11 pro 11pro アイフォン11pro アイフォン 11pro アイフォン11 pro イレブン プロ ) ・ iPhone 11 Pro Max 用 ( iphone11 pro max アイフォン11 pro max アイフォン iphone 11pro max 11promax イレブン プロ マックス ) ・ iPhone XS 用 ( iphonexs iphone xs アイフォンxs アイフォン テンエス ) ・ iPhone X 用 ( iphonex iphone x アイフォンx アイフォン テン 10 ) ・ iPhone XR 用 ( iphonexr iphone xr アイフォンxr アイフォン テンアール ) ・ iPhone 8 Plus 用 ( iphone8 plus iphone 8plus 8 plus iphone8plus アイフォン8plus アイフォン8 plus アイフォン ) ・ iPhone 7 Plus 用 ( iphone7 plus iphone 7plus 7 plus iphone7plus アイフォン7plus アイフォン7 plus アイフォン プラス ) 商品説明 優しいラテカラーとふんわり可愛いマカロンカラーのiFace カフェをイメージさせる優しい「ラテカラー」。ふんわりパステルな色合いが可愛い「マカロンカラー」。 スモーキーな色合いが今っぽい「くすみカラー」。 シンプルな無地デザインで男女問わず使えるiFaceがそろいました。 ・「くびれ」と「適度な厚み」で今までにない持ちやすさ ・ポリカーボネートとTPU、2つの素材で傷や衝撃から保護 ・背面はマットな質感で指紋が目立ちにくい メーカー Hamee ( ハミィ ハミー 公式 )について：iFace ( アイフェイス )は Hamee の ブランド であり、企画・デザイン・製造・販売をしています。取扱い商品はすべて正規品ですので安心してお買い物を楽しんでください。 おすすめ プレゼント ギフト 誕生日 クリスマス 母の日 父の日 クリスマス　 優しいニュアンスカラーのiFaceが登場 カフェをイメージさせる優しい「ラテカラー」。ふんわりパステルな色合いが可愛い「マカロンカラー」。 スモーキーな色合いが今っぽい「くすみカラー」。 シンプルな無地デザインで男女問わず使えるiFaceがそろいました。 ・「くびれ」と「適度な厚み」で今までにない持ちやすさ ・ポリカーボネートとTPU、2つの素材で傷や衝撃から保護 ・背面はマットな質感で指紋が目立ちにくい ・ストラップホール付き 【対応機種】 iPhone12 / iPhone12mini / iPhone12Pro / iPhone12ProMax / iPhone11 / iPhone11Pro / iPhone11ProMax / iPhoneXR / iPhoneXS / iPhoneX / iPhone8 / iPhone7 / iPhoneSE 第2世代 / iPhone8Plus / iPhone7Plus ●機種によっては購入できるデザインが異なります。 ●本製品およびパッケージは改良のため予告なく仕様を変更する場合があります。 ●スマートフォン本体に異常がある場合は本製品を外してください。 ●画面保護フィルムの形状により本製品と併用できない場合があります。 ●iPhone 8 Plus/7 Plus/8/7/SE(第2世代) /用のみ背面に鉄板が内蔵され、マグネットカーマウントが利用可能です。 商品仕様 12 mini用：約縦14.7×横7.4×厚1.2cm、重量約40.7g 12/12 Pro用：約縦16.3×横8.2×厚1.2cm、重量約51g 12 Pro Max用：約縦17.7×横8.9×厚1.2cm、重量約65.3g 11用：約縦16.4×横8.6×厚1.3cm、重量約58.3g 11 Pro用：約縦15.9×横8.1×厚1.2cm、重量約50.5g XR用：約縦16.5×横8.7×厚1.3cm、重量約57g XS/X用：約縦15.5×横8×厚1cm、重量約50g 8/7/SE(第2世代)用：約縦15×横7.8×厚1cm、重量約53.3g 8 Plus/7 Plus用：約縦17.2×横8.7×厚1cm、重量約67g 11 Pro Max用：約縦17.3×横8.8×厚1.3cm、重量約66.4g ストラップ使用：可 12 mini/12/12 Pro/12 Pro Max/11 Pro/11/XR/11 Pro Max/XS/X用主素材：ポリカーボネート、TPU 8/7/SE(第2世代)/8 Plus/7 Plus用主素材：ポリカーボネート、TPU、鉄 12 mini/12/12 Pro/12 Pro Max/11 Pro/11/XR/11 Pro Max/XS/X用ワイヤレス充電：可 8/7/SE(第2世代)/8 Plus/7 Plus用ワイヤレス充電：不可 保証：有 ※予約販売※ こちらの商品は「くすみホワイト」「くすみブラック」「くすみピンク」「くすみブルー」「くすみグリーン」は1月下旬入荷予定になります。入荷次第、発送致します。予約品と在庫品を一緒にご購入の場合は、すべての商品が揃ってから発送致します。 個別発送を希望の場合は、それぞれ別々にご購入ください。やむを得ず入荷日が変更になる場合は、メールにてご連絡いたします。,https://item.rakuten.co.jp/keitai/41-9163/,1,1,1,0,,0,,Hamee（ハミィ）,keitai,https://www.rakuten.co.jp/keitai/
18,18,桃太郎電鉄 〜昭和 平成 令和も定番！〜,【楽天ブックスならいつでも送料無料】,book:20081904,6237,コナミデジタルエンタテインメント Nintendo Switchもも鉄 モモ鉄 ももてつ モモテツ 桃てつ 桃テツ モモタロウデンテツ ショウワ ヘイセイ レンワモテイバン 発売日：2020年11月19日 予約締切日：2020年11月17日 プレーヤー人数：1〜4人 CERO区分：全年齢対象 HACーPーATKTA JAN：4988602173222 ゲーム Nintendo Switch テーブル・パズル ボードゲーム,https://item.rakuten.co.jp/book/16402483/,1,1,1,0,,0,,楽天ブックス,book,https://www.rakuten.co.jp/book/
19,19,復活！選べる福袋 2021【福袋チケット】【送料無料】レディース福袋 4点自由に選んで1万円（税別）【hbA】【hbB】【hbC】【hbD】がついているアイテムのみ対象 ※クーポン不可 新春福袋 HAPTIC ハプティック,"1/1〜販売開始！今回もコンバースに加えNEW BALANCEやジョンストンズ、その他ナショナルブランド多数の中から選べちゃう豪華4点で10,000円（税別）",haptic:10006661,11000,■【福袋チケット】をカートに入れた後、対象商品【A〜D】から各1点を必ず同じカートにお入れください。 ■対象商品には商品タイトル先頭に【hbA】【hbB】【hbC】【hbD】の文言が記載されております。記載のない商品は対象外です。 ■対象商品には販売期間を限定させていただいているものも含まれております。期間外は福袋対象商品としてご購入頂けません。 なお、買い物かごに入れただけの状態では在庫の確保にはなりませんので、期間限定商品をお待ちいただいている間にその他対象商品の在庫がなくなってしまう可能性もございます。 ■福袋チケットと対象商品は必ず同じカートにお入れください。福袋チケットを対象商品と同じカートに入れなければ、いかなる場合でも通常商品となりますのでご注意ください。 ■商品は必ず、対象商品よりお選び下さい。通常商品をお選びいただくと通常価格となります。 ■対象商品であれば、予約納期分からもお選びいただけます。福袋に関しましては、予約分をお選びいただいた場合でもお届け予定日に違いはございません。 ■福袋は安価でご提供させていただいている為、不良やいかなる場合がございましても返品や交換、キャンセルをお断りさせていただきます。ご了承いただいた上でのご注文をお願いいたします。 ■福袋は期間限定となっておりますので販売期間内にお求めくださいませ。 ■福袋チケットのみをご購入された場合は、店舗にてキャンセル処理をさせていただきます。 ■クーポンは利用不可です。ご利用された場合は金額修正時に削除させていただきます。 楽天のシステム上、ご注文時並びに楽天からの自動配信メールには通常価格が記載されておりますが、当店がご注文を確認後、再計算をし、お客様に福袋価格をご連絡致しますので、当店からの確認メールをお待ちくださいませ。 全て手作業で訂正を行っております。1/6以降順次修正していきますので、ご案内までにお時間がかかります。予めご了承ください。 ・ご注文時の自動配信メール → 通常の価格 ・当店からの確認メール → 訂正後の価格,https://item.rakuten.co.jp/haptic/1202-18001/,1,1,1,0,,0,,HAPTIC（ハプティック）,haptic,https://www.rakuten.co.jp/haptic/
20,20,【500円OFFクーポン配布中】カラコン ワンデー 指原莉乃 トパーズ TOPARDS 1DAY 10枚入り 14.2mm 14.5mm 1日使い捨て さっしー ワンデーカラコン カラーコンタクト カラーコンタクトレンズ 度あり 度なし 新色 UVカット ナチュラル 大人 フチあり,楽天ランキング1位獲得！ 指原莉乃イメージモデル！ 指原莉乃 コンタクト さしこ LILY ANNA　色素薄い系　フチなし 指原,lilyanna:10000114,1760,【商品詳細】 ●直径：14.2mm：パールキャッツアイ、グレージュクォーツ、ハニーアンバー、デートトパーズ、ストロベリークォーツ、ラピスラズリ ●直径：14.5mm：ペリドット、オパール ●ベースカーブ：8.6mm ●含水率：38% ●販売度数：0.00〜-10.00 ●付属品：レンズ10枚 ●使用期限：1日使い捨て ●承認番号：22400BZX00427000 【区分】高度管理医療機器 【製造国】大韓民国　(韓国) 【メーカー名】PIA株式会社 【広告文責】株式会社ARIOSE TEL:03-6417-0109 【高度管理医療機器販売業許可】 29品保生薬第449号 ■注意事項■ コンタクトレンズは高度医療管理機器です。 必ず眼科医の検査・処方を受けてお求めください。 ご使用の前に必ず添付文書をお読み下さい。 LILY ANNAでは様々にご利用いただけます。 こんなシーンで… オシャレ おしゃれ かわいい 可愛い インスタ映え デート パーティ パーティー こんな方に 姉妹 妹 彼女 職場 先輩 後輩 同僚 上司 10代　20代　30代　40代　高校生 大学生 社会人特徴 美容女子＆オトナ女子から絶大な信頼を寄せる指原莉乃さんがブランドプロデュースする、 新カラーコンタクトレンズブランド『TOPARDS(トパーズ)』 カラー 全8カラー展開 Pearl Cats Eye(パールキャッツアイ) Grege Quartz(グレージュクォーツ) Peridot(ペリドット) Opal(オパール) Honey Amber(ハニーアンバー) Date Topaz(デートトパーズ) Lapis Lazuli(ラピスラズリ) Strawberry Quartz(ストロベリークォーツ) 使用期限 1日使い捨て 枚　数 レンズ10枚 PWR（度数） 0.00〜-10.00 0.00、-0.50、-0.75、-1.00、-1.25、-1.50、-1.75、-2.00、-2.25、-2.50、-2.75、-3.00、-3.25、-3.50、-3.75、-4.00、-4.25、-4.50 -4.75、-5.00、-5.25、-5.50、-5.75、-6.00、-6.50、-7.00、-7.50、-8.00、-8.50、-9.00、-9.50、-10.00 BC(ベースカーブ) 8.6mm DIA(レンズの直径) 14.2mm/14.5mm 着色直径 着色直径13.4mm 着色直径13.5mm 着色直径13.6mm 着色直径13.8mm 含水率 38％ 製造国 大韓民国　(韓国) 広告文責 株式会社ARIOSE 区分 高度管理医療機器 医療機器承認番号 22400BZX00427000 高度管理医療機器販売業許可 29品保生薬第449号 製造販売元 PIA株式会社 使用上の注意 コンタクトレンズは高度医療管理機器です。 必ず眼科医の検査・処方を受けてお求めください。 ご使用の前に必ず添付文書をお読み下さい。&nbsp; ★眼に異常を感じた時は直ちに使用を中止し眼科医の検診をお受け下さい。 注意点 ▼土日祝日は発送はお休みです。 ▼沖縄・離島等の場合は別途送料掛かる場合がございます。お客様都合での返品、交換はお受けしておりませんのでご注意ください。 ※ディスプレイ画面等の環境上、ページで見た色と実際の商品の色とは多少違う場合がございます。 ご了承の上、ご購入をお願い致します。,https://item.rakuten.co.jp/lilyanna/topards-1day/,1,1,1,0,,0,,LILY ANNA,lilyanna,https://www.rakuten.co.jp/lilyanna/
